CLI,UTSOU,CPACK,CPRO,ETA,DDSOU,DFSOU
43580816,010146    ,000011,201,VA,2024-01-05,
43580816,010146    ,000011,490,VA,2024-01-05,2024-03-05
43580890,000665    ,      ,201,VA,2024-01-05,
43580816,010146    ,000011,653,VA,2024-01-05,2027-12-31
43580816,010146    ,000011,210,VA,2024-01-05,
43580816,010146    ,000011,643,VA,2024-01-05,2025-01-05
43580816,010146    ,000011,213,VA,2024-01-05,
43580816,010146    ,000011,   ,VA,2024-01-05,
43580964,010100    ,      ,201,VA,2024-01-05,
43581039,000677    ,      ,222,VA,2024-01-05,
43581113,000452    ,      ,201,VA,2024-01-05,
43581187,000452    ,      ,201,VA,2024-01-05,
43581410,000691    ,      ,222,VA,2024-01-05,
43581485,000373    ,000011,222,VA,2024-01-05,
43573234,010116    ,100002,644,VA,2024-01-08,2025-01-08
43573234,010116    ,100002,654,VA,2024-01-08,2027-12-31
43573234,010116    ,100002,212,VA,2024-01-08,
43573234,010116    ,100002,217,VA,2024-01-08,
43573234,010116    ,100002,   ,VA,2024-01-08,
43581559,000601    ,000011,222,VA,2024-01-08,
43581633,000623    ,      ,222,VA,2024-01-08,
43581633,000623    ,      ,653,VA,2024-01-08,2025-04-17
43581633,000623    ,      ,643,VA,2024-01-08,2025-01-08
43581633,000623    ,640004,   ,VA,2024-01-08,2025-04-17
43581708,000652    ,      ,222,VA,2024-01-08,
43581782,000452    ,000022,222,VA,2024-01-08,
43581782,000452    ,000022,201,VA,2024-01-08,
43581782,000452    ,000022,650,VA,2024-01-08,2027-12-31
43581782,000452    ,000022,640,VA,2024-01-08,2025-01-08
43581782,000452    ,000022,210,VA,2024-01-08,
43581856,010209    ,000077,201,VA,2024-01-08,
43581782,000452    ,000022,213,VA,2024-01-08,
43581782,000452    ,000022,   ,VA,2024-01-08,
43581931,010208    ,      ,222,VA,2024-01-08,
43580295,000384    ,000077,665,VA,2024-01-08,2028-12-31
43580295,000384    ,000077,210,VA,2024-01-08,
