CLI,SEXT,DNA,AGE,TCLI,GES,DOU,UTIC,age,client_seniority_days,age_group,total_products,active_products,active_products_ratio,avg_product_duration,std_product_duration,max_product_duration,unique_packs,total_accounts,closed_accounts,closed_accounts_ratio,unique_account_types,Segment Client,Actif/Inactif,District
43574126,F,2002-07-24,1010,1,101,2024-01-03,010094    ,22.98425735797399,562,<25,6.0,7.0,1.0,912.0,772.1606050557099,1458.0,1.0,2.0,0.0,0.0,2.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43574200,F,2060-03-02,101,1,13,2024-01-03,000482    ,-34.62286105407255,562,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,PREMIUMS FIRST,INACTIF,SIEGE
43574274,F,1989-01-25,202,1,22,2024-01-03,010130    ,36.47638603696099,562,35-45,3.0,4.0,1.0,1820.0,0.0,1820.0,1.0,1.0,0.0,0.0,1.0,NON AFFECTE,NON AFFECTE,SIEGE
43574349,F,2070-04-26,3333,1,331,2024-01-03,010210    ,-44.772073921971256,562,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,ADULTES GRAND PUBLIC,ACTIF,SIEGE
43574349,F,2070-04-26,3333,1,331,2024-01-03,010210    ,-44.772073921971256,562,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,ADULTES GRAND PUBLIC,INACTIF,District Grand Centre
43574423,F,2008-05-19,1010,1,101,2024-01-03,010094    ,17.163586584531142,562,<25,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,ADULTES GRAND PUBLIC,ACTIF,SIEGE
43574497,F,2067-10-05,1414,1,142,2024-01-03,000440    ,-42.21492128678987,562,,6.0,7.0,1.0,902.5,758.7255762131655,1439.0,1.0,2.0,0.0,0.0,2.0,JUNIOR,NON AFFECTE,SIEGE
43574572,F,1979-06-26,1414,1,141,2024-01-03,010116    ,46.06160164271047,562,45-55,8.0,9.0,1.0,729.6666666666666,630.7553672647846,1458.0,2.0,8.0,0.0,0.0,3.0,PREMIUMS ELITE,ACTIF,SIEGE
43574646,F,1993-08-07,2828,1,282,2024-01-04,000623    ,31.94524298425736,561,25-35,5.0,6.0,1.0,899.0,753.7758287448596,1432.0,2.0,8.0,0.0,0.0,2.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43574646,F,1993-08-07,2828,1,282,2024-01-04,000623    ,31.94524298425736,561,25-35,5.0,6.0,1.0,899.0,753.7758287448596,1432.0,2.0,8.0,0.0,0.0,2.0,ADULTES CLASSE MOYENNE,ACTIF,District Tunis Nord
43574720,F,2008-06-12,202,1,24,2024-01-04,010123    ,17.097878165639973,561,<25,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,JUNIOR,NON AFFECTE,SIEGE
43574795,F,2001-05-22,2323,1,232,2024-01-04,000459    ,24.15605749486653,561,<25,1.0,1.0,1.0,431.0,0.0,431.0,1.0,1.0,1.0,1.0,1.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43575092,F,2009-10-20,505,1,52,2024-01-04,000464    ,15.742642026009582,561,<25,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43575241,M,2007-09-27,505,1,52,2024-01-04,000464    ,17.806981519507186,561,<25,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,JUNIOR,NON AFFECTE,SIEGE
43575315,F,1998-08-28,1313,1,132,2024-01-04,000584    ,26.888432580424368,561,25-35,4.0,5.0,1.0,911.5,1289.0556621030762,1823.0,2.0,1.0,0.0,0.0,1.0,JUNIOR,NON AFFECTE,SIEGE
43575389,M,2015-07-31,505,1,52,2024-01-04,000464    ,9.96577686516085,561,<25,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
